subject,chunk_size,chunk_size_sec,window_size_sec,mode,mean_hr,std_hr
1001,320,10.7,3,non_overlapping,85.01257838271569,5.19527988297956
1001,320,10.7,3,overlapping,84.6127114367961,4.306996780292358
1001,320,10.7,4,non_overlapping,83.78208490594074,2.889733923531985
1001,320,10.7,4,overlapping,84.75942728610062,4.212842850564268
1001,320,10.7,5,non_overlapping,83.03213691342982,3.0053132762714325
1001,320,10.7,5,overlapping,84.03942639576833,4.0875688764826
1002,320,10.7,3,non_overlapping,97.28987790768481,5.691899715799569
1002,320,10.7,3,overlapping,98.16547240925944,5.737064703762969
1002,320,10.7,4,non_overlapping,98.3201169483812,7.756108237597763
1002,320,10.7,4,overlapping,98.36485969292369,5.65452143638415
1002,320,10.7,5,non_overlapping,97.54480693879383,5.382555865645212
1002,320,10.7,5,overlapping,97.7449719526763,5.023992097546141
1003,320,10.7,3,non_overlapping,73.44933810151201,2.902422941578725
1003,320,10.7,3,overlapping,73.54500746955989,2.5248454167041583
1003,320,10.7,4,non_overlapping,73.79259689585777,3.158967645583962
1003,320,10.7,4,overlapping,73.88735875925316,3.5715237823495642
1003,320,10.7,5,non_overlapping,73.37540596049914,2.6501888766526327
1003,320,10.7,5,overlapping,73.3590789472777,2.9264711300323643
1004,320,10.7,3,non_overlapping,75.88824554074073,4.424452792046382
1004,320,10.7,3,overlapping,75.95371232964935,4.06617734313917
1004,320,10.7,4,non_overlapping,76.48108293862201,4.4367882560557845
1004,320,10.7,4,overlapping,76.00787965648615,2.7913377082152655
1004,320,10.7,5,non_overlapping,75.09248523305067,2.843048970124752
1004,320,10.7,5,overlapping,75.10266701956571,2.6010940455236655
1005,320,10.7,3,non_overlapping,74.4878913357174,2.8511993262764435
1005,320,10.7,3,overlapping,74.26159448442056,2.6529597626796715
1005,320,10.7,4,non_overlapping,74.37913415087327,3.411972175646075
1005,320,10.7,4,overlapping,73.9256329419373,2.569638701117108
1005,320,10.7,5,non_overlapping,74.61108450728015,2.988726210835613
1005,320,10.7,5,overlapping,73.92382717926195,2.4170239720583435
1006,320,10.7,3,non_overlapping,77.89350745872484,1.4166037317198934
1006,320,10.7,3,overlapping,78.61602407254581,1.8277495543425522
1006,320,10.7,4,non_overlapping,77.34571678321679,1.2600727302719434
1006,320,10.7,4,overlapping,77.73851691786474,0.8534915711042057
1006,320,10.7,5,non_overlapping,77.72214090257567,1.1064434236342129
1006,320,10.7,5,overlapping,77.78775137905573,0.8188090290605023
101,320,10.7,3,non_overlapping,67.3835254549963,2.3492618100117126
101,320,10.7,3,overlapping,67.6018668176997,2.2841614839978757
101,320,10.7,4,non_overlapping,67.45777794100509,2.301379687287244
101,320,10.7,4,overlapping,67.52811656876402,2.356522776900878
101,320,10.7,5,non_overlapping,67.28687236052303,2.15088181625789
101,320,10.7,5,overlapping,67.2325812368541,2.1758942326639055
102,320,10.7,3,non_overlapping,82.77527980607691,12.250890832389315
102,320,10.7,3,overlapping,79.39414954677635,8.754358431766942
102,320,10.7,4,non_overlapping,79.74411590824634,8.447913226791577
102,320,10.7,4,overlapping,78.84634813153835,7.836260757262229
102,320,10.7,5,non_overlapping,80.63293739272,11.442004410364984
102,320,10.7,5,overlapping,78.74722317403477,7.701106693584676
103,320,10.7,3,non_overlapping,86.22906211232846,8.333712574716586
103,320,10.7,3,overlapping,87.86391928312825,9.49323637127379
103,320,10.7,4,non_overlapping,88.48302056000264,11.866317532066446
103,320,10.7,4,overlapping,87.70265023005251,10.158322007033187
103,320,10.7,5,non_overlapping,87.597667186581,9.988109698637876
103,320,10.7,5,overlapping,88.82402645982164,11.968727554427751
104,320,10.7,3,non_overlapping,79.03516531777402,5.453769493139407
104,320,10.7,3,overlapping,78.75409396047868,5.620116019042707
104,320,10.7,4,non_overlapping,79.32449119203777,6.728620745667036
104,320,10.7,4,overlapping,78.2271409060229,5.579434994448744
104,320,10.7,5,non_overlapping,79.06975229739206,5.464050369059469
104,320,10.7,5,overlapping,78.76492574598164,5.938366411089956
105,320,10.7,3,non_overlapping,73.14713513807716,7.204195388049443
105,320,10.7,3,overlapping,74.03665259190622,6.483117355290763
105,320,10.7,4,non_overlapping,73.87931583312017,8.439602683913437
105,320,10.7,4,overlapping,72.41378087492218,6.144358829214301
105,320,10.7,5,non_overlapping,72.74127285757721,7.380990374499626
105,320,10.7,5,overlapping,72.0910152649283,5.717610120205867
106,320,10.7,3,non_overlapping,74.10295514217084,8.000270324106756
106,320,10.7,3,overlapping,72.0020230314348,4.600883930802467
106,320,10.7,4,non_overlapping,72.85113062318945,7.9051055482524015
106,320,10.7,4,overlapping,71.43428589384472,4.790349562146746
106,320,10.7,5,non_overlapping,72.76357136871844,6.15645903777677
106,320,10.7,5,overlapping,71.63744603254408,4.245983399042351
201,320,10.7,3,non_overlapping,70.73982297895341,4.3222227863007285
201,320,10.7,3,overlapping,70.97037731458022,4.051968077955082
201,320,10.7,4,non_overlapping,70.807760174608,4.592114124407448
201,320,10.7,4,overlapping,70.95622599019339,4.201667339774256
201,320,10.7,5,non_overlapping,71.20748514770253,3.967609664201213
201,320,10.7,5,overlapping,70.96666972319146,4.29481833067894
202,320,10.7,3,non_overlapping,78.72919994659125,3.4330499910274526
202,320,10.7,3,overlapping,78.46824639397103,3.2622400784387824
202,320,10.7,4,non_overlapping,77.38470547166199,4.231853873532601
202,320,10.7,4,overlapping,78.10007811230638,3.51963739681473
202,320,10.7,5,non_overlapping,78.54763811068159,3.3123863562630356
202,320,10.7,5,overlapping,78.01538747082225,3.6445837430428183
203,320,10.7,3,non_overlapping,73.25203058274023,2.2329365325725608
203,320,10.7,3,overlapping,72.77460762602567,1.5887721732600721
203,320,10.7,4,non_overlapping,73.03249264582662,2.323865805328267
203,320,10.7,4,overlapping,72.84350122744986,2.0914295641597938
203,320,10.7,5,non_overlapping,72.76511556492817,1.7792703284779798
203,320,10.7,5,overlapping,73.13086090501758,1.834471307657732
204,320,10.7,3,non_overlapping,73.41040675642124,4.948163419403728
204,320,10.7,3,overlapping,73.34178056913564,4.634555519939824
204,320,10.7,4,non_overlapping,74.03311101137189,5.288417613514882
204,320,10.7,4,overlapping,73.88531201085549,5.3736557223563395
204,320,10.7,5,non_overlapping,73.26221833721833,4.389268404720412
204,320,10.7,5,overlapping,73.45698673307369,4.800082912604753
205,320,10.7,3,non_overlapping,74.15952453732957,1.93723396530923
205,320,10.7,3,overlapping,74.27180452592444,2.023205321562897
205,320,10.7,4,non_overlapping,74.1007079926917,1.5865759743068002
205,320,10.7,4,overlapping,73.90532099962982,1.7808907397761287
205,320,10.7,5,non_overlapping,74.49876266596112,1.5524888771269911
205,320,10.7,5,overlapping,74.06945877222876,1.624594422534698
206,320,10.7,3,non_overlapping,70.28020223709879,1.6076552325201001
206,320,10.7,3,overlapping,70.28620984074509,1.5742142883392436
206,320,10.7,4,non_overlapping,70.95667878820053,1.851702348163172
206,320,10.7,4,overlapping,70.42217339514004,1.6210001975298354
206,320,10.7,5,non_overlapping,70.41509339194872,1.2958555885322518
206,320,10.7,5,overlapping,70.73822270793785,1.6546539647489853
301,320,10.7,3,non_overlapping,53.05055502161763,1.0074533083889177
301,320,10.7,3,overlapping,52.87416589776647,0.8868447938995456
301,320,10.7,4,non_overlapping,53.04143120023101,1.1490418576656087
301,320,10.7,4,overlapping,53.0337360697892,0.9921327661302163
301,320,10.7,5,non_overlapping,53.0893233302211,1.157312195338385
301,320,10.7,5,overlapping,52.994072011802096,0.8100479151603204
302,320,10.7,3,non_overlapping,56.47562576957165,1.6308420354185191
302,320,10.7,3,overlapping,56.56203590243863,1.286585668551688
302,320,10.7,4,non_overlapping,56.8559050807096,1.3757440480998582
302,320,10.7,4,overlapping,56.638350674100145,1.4447702817818167
302,320,10.7,5,non_overlapping,56.67620095932497,1.4297097180836837
302,320,10.7,5,overlapping,56.5566581951822,1.5383039772382505
303,320,10.7,3,non_overlapping,58.264316723756956,3.095801256968261
303,320,10.7,3,overlapping,58.14732195967678,3.245189934398954
303,320,10.7,4,non_overlapping,58.201919147424356,3.047457618443799
303,320,10.7,4,overlapping,58.12935738748427,3.2641079700870397
303,320,10.7,5,non_overlapping,56.97550754994586,0.8528424264854417
303,320,10.7,5,overlapping,57.32364400364588,1.7394671223338996
304,320,10.7,3,non_overlapping,56.35927758200054,0.8276244433288235
304,320,10.7,3,overlapping,55.914420020207494,0.6326501942827453
304,320,10.7,4,non_overlapping,55.81259703294807,0.7876250519219291
304,320,10.7,4,overlapping,55.785678090884446,0.5411912598465971
304,320,10.7,5,non_overlapping,55.720881644446635,0.6211909556646873
304,320,10.7,5,overlapping,55.6764916377108,0.6105894849828076
305,320,10.7,3,non_overlapping,55.875180717448266,1.2978936017825857
305,320,10.7,3,overlapping,56.01490944618317,1.1246907301219013
305,320,10.7,4,non_overlapping,55.732458855976404,1.318422145200978
305,320,10.7,4,overlapping,55.953652905443704,1.308905775010758
305,320,10.7,5,non_overlapping,56.1379160351824,1.3150730492080813
305,320,10.7,5,overlapping,55.953407328229424,1.2743170826576569
306,320,10.7,3,non_overlapping,57.74137719379164,3.0717330477974465
306,320,10.7,3,overlapping,57.79373413489956,3.037807487546747
306,320,10.7,4,non_overlapping,58.33983981650096,2.8682561480765574
306,320,10.7,4,overlapping,57.98083543017662,3.127161409275256
306,320,10.7,5,non_overlapping,58.333317321982214,3.161782543075275
306,320,10.7,5,overlapping,58.66547704378545,3.7077474688431034
401,320,10.7,3,non_overlapping,59.77368676979765,3.3140239007217187
401,320,10.7,3,overlapping,59.336201302630506,3.388897490322181
401,320,10.7,4,non_overlapping,59.333158690631045,3.7201544530328157
401,320,10.7,4,overlapping,59.44448388278236,3.577066285739208
401,320,10.7,5,non_overlapping,59.415443106055214,3.611850184703458
401,320,10.7,5,overlapping,59.54916819108242,3.7956895753218993
402,320,10.7,3,non_overlapping,64.65934772374798,2.0261746201058086
402,320,10.7,3,overlapping,65.28665086201237,1.8776878647537327
402,320,10.7,4,non_overlapping,64.2495300565726,2.529552943776434
402,320,10.7,4,overlapping,65.19480159550724,1.8002228700991012
402,320,10.7,5,non_overlapping,65.54352011154708,2.333398622391367
402,320,10.7,5,overlapping,65.06623425137052,1.566262381898883
403,320,10.7,3,non_overlapping,69.26070071540194,2.1889068589536294
403,320,10.7,3,overlapping,69.22275398581887,1.9097149112620537
403,320,10.7,4,non_overlapping,69.34442603397412,1.8197256810084492
403,320,10.7,4,overlapping,69.18652151880626,1.8609939570514498
403,320,10.7,5,non_overlapping,69.05550227241167,1.8285915407551896
403,320,10.7,5,overlapping,69.17505314584989,1.7804890686157093
404,320,10.7,3,non_overlapping,70.80701475536317,4.133932236203306
404,320,10.7,3,overlapping,70.52514634771836,3.764345206190379
404,320,10.7,4,non_overlapping,70.0200705879039,3.4157865045034614
404,320,10.7,4,overlapping,70.26532304492548,3.70666057958563
404,320,10.7,5,non_overlapping,70.29912113302562,3.015277174807476
404,320,10.7,5,overlapping,70.3662597764374,3.4785136678204527
405,320,10.7,3,non_overlapping,65.53766761105935,2.9152636576139623
405,320,10.7,3,overlapping,65.60883897641173,3.337732517787849
405,320,10.7,4,non_overlapping,65.9280513599201,3.2082223545158333
405,320,10.7,4,overlapping,65.68661260231757,3.3445555339570605
405,320,10.7,5,non_overlapping,65.98484672654932,3.3963080533563335
405,320,10.7,5,overlapping,65.99834285544102,3.7041197456394728
406,320,10.7,3,non_overlapping,63.94745146742736,3.3796509301450044
406,320,10.7,3,overlapping,64.1427916639726,3.4338944546245735
406,320,10.7,4,non_overlapping,63.340864456270474,3.2943794879135573
406,320,10.7,4,overlapping,64.10565581140526,3.556716572845385
406,320,10.7,5,non_overlapping,64.02338950097918,3.44674604496623
406,320,10.7,5,overlapping,64.0480423785624,3.5177459823365207
501,320,10.7,3,non_overlapping,50.78905958162924,9.919520327375947
501,320,10.7,3,overlapping,50.59424320400611,10.95366888313037
501,320,10.7,4,non_overlapping,50.86423857708687,8.835863027200677
501,320,10.7,4,overlapping,49.98676839068933,9.638811366843266
501,320,10.7,5,non_overlapping,49.95817377037644,8.976746196893062
501,320,10.7,5,overlapping,51.38998450162839,12.033419133113822
502,320,10.7,3,non_overlapping,94.40388170183373,17.711873529968567
502,320,10.7,3,overlapping,87.06415490422621,16.558227467390076
502,320,10.7,4,non_overlapping,90.77201467477069,13.10164955497932
502,320,10.7,4,overlapping,88.82065404159543,11.360164335291309
502,320,10.7,5,non_overlapping,85.3606312725613,12.14766894290238
502,320,10.7,5,overlapping,84.89171168627762,13.343949261800093
503,320,10.7,3,non_overlapping,75.9074834468965,16.383079578768854
503,320,10.7,3,overlapping,74.89698914648889,20.474273799496636
503,320,10.7,4,non_overlapping,74.70985403193443,13.534949474618013
503,320,10.7,4,overlapping,75.02306768547977,14.556430591654621
503,320,10.7,5,non_overlapping,74.9651023768323,16.896494062690593
503,320,10.7,5,overlapping,77.39632679626314,17.817208056168106
504,320,10.7,3,non_overlapping,75.35218363728801,13.791304408402464
504,320,10.7,3,overlapping,80.8432619548945,17.27492245170906
504,320,10.7,4,non_overlapping,83.34914961642224,16.481778627085653
504,320,10.7,4,overlapping,82.77747438997099,17.783963290621017
504,320,10.7,5,non_overlapping,81.72633032747731,17.191133562406325
504,320,10.7,5,overlapping,83.53358917920453,17.929858586367732
